"sn","date","branch","pizza_sold","category","price","quantity","timevalue","time_range","total_sales"
29,"2015-12-14","Ikoyi","Hot Pepperoni Feast","Salami","4000",2,"08:00:56","Morning to Afternoon","8000"
30,"2015-12-06","Lekki","Chicken Bali","Chicken","2000",4,"08:00:56","Morning to Afternoon","8000"
31,"2015-12-03","Lekki","Chicken Feast","Chicken","2000",3,"08:00:57","Morning to Afternoon","6000"
32,"2015-12-05","Ikoyi","Veggie Supreme","Vegetable","3000",2,"08:00:57","Morning to Afternoon","6000"
33,"2015-12-13","Gbagada","Extravaganza","Pepperoni/Beef","2000",4,"08:01:00","Morning to Afternoon","8000"
34,"2015-12-13","Ibadan","Pepperoni Suya","Pepperoni/Beef","3000",4,"08:01:01","Morning to Afternoon","12000"
35,"2015-12-04","Gbagada","Veggie Supreme","Vegetable","3000",2,"08:01:02","Morning to Afternoon","6000"
36,"2015-12-08","Ikoyi","Extravaganza","Pepperoni/Beef","2000",2,"08:01:08","Morning to Afternoon","4000"
37,"2015-12-11","Lekki","Italiano","Tomato/Cheese","3000",2,"08:01:14","Morning to Afternoon","6000"
38,"2015-12-09","Lekki","BBQ Philly Steak","Beef","4000",2,"08:01:16","Morning to Afternoon","8000"
39,"2015-12-14","Ibadan","Pepperoni Feast","Salami","4000",5,"08:01:16","Morning to Afternoon","20000"
40,"2015-12-05","Lekki","Chicken Bali","Chicken","2000",4,"08:01:17","Morning to Afternoon","8000"
41,"2015-12-05","Lekki","Pepperoni Suya","Pepperoni/Beef","3000",2,"08:01:18","Morning to Afternoon","6000"
42,"2015-12-10","Gbagada","BBQ Philly Steak","Beef","4000",5,"08:01:20","Morning to Afternoon","20000"
43,"2015-12-12","Surulere","Chicken Bali","Chicken","2000",3,"08:01:21","Morning to Afternoon","6000"
44,"2015-12-11","Gbagada","Italiano","Tomato/Cheese","3000",5,"08:01:22","Morning to Afternoon","15000"
45,"2015-12-10","Gbagada","BBQ Philly Steak","Beef","4000",4,"08:01:26","Morning to Afternoon","16000"
46,"2015-12-08","Lekki","Hot Pepperoni Feast","Salami","4000",5,"08:01:28","Morning to Afternoon","20000"
47,"2015-12-09","Lekki","Chicken Legend","Chicken","2000",2,"08:01:31","Morning to Afternoon","4000"
48,"2015-12-07","Lekki","Chicken Bali","Chicken","2000",2,"08:01:32","Morning to Afternoon","4000"
49,"2015-12-12","Lekki","BBQ Philly Steak","Beef","4000",1,"08:01:34","Morning to Afternoon","4000"
50,"2015-12-06","Surulere","BBQ Chicken","Chicken","4000",4,"08:01:34","Morning to Afternoon","16000"
51,"2015-12-05","Ikoyi","Pepperoni Feast","Salami","4000",4,"08:01:35","Morning to Afternoon","16000"
52,"2015-12-12","Gbagada","BBQ Philly Steak","Beef","4000",1,"08:01:36","Morning to Afternoon","4000"
53,"2015-12-14","Ibadan","BBQ Philly Steak","Beef","4000",4,"08:01:36","Morning to Afternoon","16000"
54,"2015-12-14","Ibadan","Pepperoni Suya","Pepperoni/Beef","3000",2,"08:01:37","Morning to Afternoon","6000"
55,"2015-12-08","Gbagada","Veggie Supreme","Vegetable","3000",5,"08:01:37","Morning to Afternoon","15000"
56,"2015-12-03","Surulere","Chicken Suya","Chicken","4000",5,"08:01:39","Morning to Afternoon","20000"
57,"2015-12-05","Surulere","Margarita","Vegetable","4000",4,"08:01:43","Morning to Afternoon","16000"
58,"2015-12-13","Surulere","Chicken Bali","Chicken","2000",5,"08:01:44","Morning to Afternoon","10000"
59,"2015-12-09","Gbagada","Meatzaa","Beef","2000",5,"08:01:44","Morning to Afternoon","10000"
60,"2015-12-09","Surulere","BBQ Philly Steak","Beef","4000",3,"08:01:46","Morning to Afternoon","12000"
61,"2015-12-11","Lekki","Pepperoni Suya","Pepperoni/Beef","3000",5,"08:01:48","Morning to Afternoon","15000"
62,"2015-12-06","Gbagada","Chicken Feast","Chicken","2000",5,"08:01:49","Morning to Afternoon","10000"
63,"2015-12-11","Gbagada","Chicken Feast","Chicken","2000",4,"08:01:52","Morning to Afternoon","8000"
64,"2015-12-05","Gbagada","Chicken Suya","Chicken","4000",2,"08:01:54","Morning to Afternoon","8000"
65,"2015-12-14","Ibadan","Chicken Legend","Chicken","2000",3,"08:01:55","Morning to Afternoon","6000"
66,"2015-12-15","Ikoyi","Chicken Feast","Chicken","2000",4,"08:01:56","Morning to Afternoon","8000"
67,"2015-12-10","Lekki","Chicken Bali","Chicken","2000",1,"08:02:03","Morning to Afternoon","2000"
68,"2015-12-08","Ikoyi","Pepperoni Suya","Pepperoni/Beef","3000",1,"08:02:03","Morning to Afternoon","3000"
69,"2015-12-14","Lekki","Pepperoni Feast","Salami","4000",3,"08:02:04","Morning to Afternoon","12000"
70,"2015-12-03","Ibadan","Beef Suya","Beef","3000",3,"08:02:05","Morning to Afternoon","9000"
71,"2015-12-03","Surulere","BBQ Chicken","Chicken","4000",1,"08:02:06","Morning to Afternoon","4000"
72,"2015-12-10","Ikoyi","Pepperoni Feast","Salami","4000",3,"08:02:10","Morning to Afternoon","12000"
73,"2015-12-07","Ibadan","Pepperoni Feast","Salami","4000",5,"08:02:13","Morning to Afternoon","20000"
74,"2015-12-08","Ikoyi","BBQ Chicken","Chicken","4000",2,"08:02:13","Morning to Afternoon","8000"
75,"2015-12-06","Gbagada","Extravaganza","Pepperoni/Beef","2000",5,"08:02:18","Morning to Afternoon","10000"
76,"2015-12-09","Lekki","Chicken Legend","Chicken","2000",1,"08:02:18","Morning to Afternoon","2000"
77,"2015-12-06","Ikoyi","Pepperoni Suya","Pepperoni/Beef","3000",2,"08:02:22","Morning to Afternoon","6000"
78,"2015-12-13","Gbagada","Hot Veggie","Vegetable","4000",2,"08:02:22","Morning to Afternoon","8000"
79,"2015-12-07","Lekki","Extravaganza","Pepperoni/Beef","2000",3,"08:02:30","Morning to Afternoon","6000"
80,"2015-12-04","Surulere","Chicken Suya","Chicken","4000",3,"08:02:31","Morning to Afternoon","12000"
81,"2015-12-03","Ibadan","Pepperoni Feast","Salami","4000",5,"08:02:35","Morning to Afternoon","20000"
82,"2015-12-12","Ikoyi","Pepperoni Feast","Salami","4000",3,"08:02:36","Morning to Afternoon","12000"
83,"2015-12-04","Lekki","BBQ Chicken","Chicken","4000",3,"08:02:37","Morning to Afternoon","12000"
84,"2015-12-08","Ibadan","BBQ Philly Steak","Beef","4000",4,"08:02:38","Morning to Afternoon","16000"
85,"2015-12-05","Lekki","Hot Veggie","Vegetable","4000",5,"08:02:38","Morning to Afternoon","20000"
86,"2015-12-13","Lekki","Chicken Bali","Chicken","2000",1,"08:02:42","Morning to Afternoon","2000"
87,"2015-12-05","Ibadan","Beef Suya","Beef","3000",2,"08:02:44","Morning to Afternoon","6000"
88,"2015-12-04","Surulere","BBQ Philly Steak","Beef","4000",2,"08:02:46","Morning to Afternoon","8000"
89,"2015-12-07","Ikoyi","Veggie Supreme","Vegetable","3000",4,"08:02:47","Morning to Afternoon","12000"
90,"2015-12-09","Surulere","Chicken Suya","Chicken","4000",1,"08:02:47","Morning to Afternoon","4000"
91,"2015-12-10","Ibadan","BBQ Chicken","Chicken","4000",5,"08:02:49","Morning to Afternoon","20000"
92,"2015-12-07","Ikoyi","BBQ Philly Steak","Beef","4000",4,"08:02:50","Morning to Afternoon","16000"
93,"2015-12-14","Ibadan","Meatzaa","Beef","2000",5,"08:02:50","Morning to Afternoon","10000"
94,"2015-12-05","Gbagada","Hot Veggie","Vegetable","4000",5,"08:02:55","Morning to Afternoon","20000"
95,"2015-12-11","Ikoyi","Italiano","Tomato/Cheese","3000",2,"08:03:00","Morning to Afternoon","6000"
96,"2015-12-04","Ikoyi","BBQ Philly Steak","Beef","4000",3,"08:03:01","Morning to Afternoon","12000"
97,"2015-12-04","Surulere","Chicken Legend","Chicken","2000",1,"08:03:02","Morning to Afternoon","2000"
98,"2015-12-14","Surulere","Hot Pepperoni Feast","Salami","4000",2,"08:03:05","Morning to Afternoon","8000"
99,"2015-12-05","Gbagada","Hot Pepperoni Feast","Salami","4000",4,"08:03:05","Morning to Afternoon","16000"
100,"2015-12-15","Ikoyi","BBQ Philly Steak","Beef","4000",4,"08:03:09","Morning to Afternoon","16000"
101,"2015-12-14","Lekki","Veggie Supreme","Vegetable","3000",3,"08:03:10","Morning to Afternoon","9000"
102,"2015-12-04","Surulere","Chicken Suya","Chicken","4000",5,"08:03:10","Morning to Afternoon","20000"
103,"2015-12-07","Ikoyi","Pepperoni Suya","Pepperoni/Beef","3000",5,"08:03:15","Morning to Afternoon","15000"
104,"2015-12-05","Surulere","Chicken Bali","Chicken","2000",4,"08:03:17","Morning to Afternoon","8000"
105,"2015-12-09","Gbagada","Extravaganza","Pepperoni/Beef","2000",4,"08:03:18","Morning to Afternoon","8000"
106,"2015-12-14","Ibadan","Veggie Supreme","Vegetable","3000",5,"08:03:22","Morning to Afternoon","15000"
107,"2015-12-11","Gbagada","Pepperoni Feast","Salami","4000",3,"08:03:25","Morning to Afternoon","12000"
108,"2015-12-08","Gbagada","Chicken Suya","Chicken","4000",5,"08:03:26","Morning to Afternoon","20000"
109,"2015-12-12","Surulere","Italiano","Tomato/Cheese","3000",1,"08:03:27","Morning to Afternoon","3000"
110,"2015-12-05","Ikoyi","Margarita","Vegetable","4000",4,"08:03:28","Morning to Afternoon","16000"
111,"2015-12-07","Surulere","Chicken Suya","Chicken","4000",5,"08:03:29","Morning to Afternoon","20000"
112,"2015-12-09","Ibadan","Meatzaa","Beef","2000",4,"08:03:29","Morning to Afternoon","8000"
113,"2015-12-03","Lekki","Veggie Supreme","Vegetable","3000",2,"08:03:31","Morning to Afternoon","6000"
114,"2015-12-05","Ikoyi","Chicken Bali","Chicken","2000",3,"08:03:32","Morning to Afternoon","6000"
115,"2015-12-09","Gbagada","Italiano","Tomato/Cheese","3000",3,"08:03:32","Morning to Afternoon","9000"
116,"2015-12-06","Lekki","Hot Pepperoni Feast","Salami","4000",4,"08:03:32","Morning to Afternoon","16000"
117,"2015-12-10","Surulere","Pepperoni Suya","Pepperoni/Beef","3000",4,"08:03:33","Morning to Afternoon","12000"
118,"2015-12-03","Ibadan","Beef Suya","Beef","3000",3,"08:03:36","Morning to Afternoon","9000"
119,"2015-12-07","Lekki","Veggie Supreme","Vegetable","3000",5,"08:03:39","Morning to Afternoon","15000"
120,"2015-12-13","Surulere","Italiano","Tomato/Cheese","3000",4,"08:03:44","Morning to Afternoon","12000"
121,"2015-12-07","Ibadan","Hot Pepperoni Feast","Salami","4000",2,"08:03:44","Morning to Afternoon","8000"
122,"2015-12-10","Gbagada","Chicken Suya","Chicken","4000",2,"08:03:52","Morning to Afternoon","8000"
123,"2015-12-12","Lekki","Veggie Supreme","Vegetable","3000",4,"08:03:53","Morning to Afternoon","12000"
124,"2015-12-03","Ibadan","Meatzaa","Beef","2000",4,"08:03:54","Morning to Afternoon","8000"
125,"2015-12-03","Ibadan","Hot Veggie","Vegetable","4000",5,"08:03:54","Morning to Afternoon","20000"
126,"2015-12-13","Ikoyi","BBQ Philly Steak","Beef","4000",4,"08:03:54","Morning to Afternoon","16000"
127,"2015-12-11","Ikoyi","Beef Suya","Beef","3000",1,"08:03:57","Morning to Afternoon","3000"
128,"2015-12-08","Lekki","Veggie Supreme","Vegetable","3000",3,"08:04:00","Morning to Afternoon","9000"
129,"2015-12-12","Lekki","Hot Veggie","Vegetable","4000",2,"08:04:01","Morning to Afternoon","8000"
130,"2015-12-10","Gbagada","Margarita","Vegetable","4000",4,"08:04:04","Morning to Afternoon","16000"
131,"2015-12-10","Ibadan","Chicken Legend","Chicken","2000",1,"08:04:07","Morning to Afternoon","2000"
132,"2015-12-06","Gbagada","Veggie Supreme","Vegetable","3000",1,"08:04:13","Morning to Afternoon","3000"
133,"2015-12-11","Surulere","Hot Veggie","Vegetable","4000",5,"08:04:14","Morning to Afternoon","20000"
134,"2015-12-07","Lekki","Pepperoni Suya","Pepperoni/Beef","3000",4,"08:04:18","Morning to Afternoon","12000"
135,"2015-12-15","Gbagada","BBQ Philly Steak","Beef","4000",4,"08:04:18","Morning to Afternoon","16000"
136,"2015-12-11","Gbagada","Meatzaa","Beef","2000",5,"08:04:19","Morning to Afternoon","10000"
137,"2015-12-03","Ibadan","Beef Suya","Beef","3000",2,"08:04:20","Morning to Afternoon","6000"
138,"2015-12-06","Ibadan","Pepperoni Feast","Salami","4000",5,"08:04:21","Morning to Afternoon","20000"
139,"2015-12-05","Ibadan","BBQ Philly Steak","Beef","4000",2,"08:04:21","Morning to Afternoon","8000"
140,"2015-12-04","Gbagada","Margarita","Vegetable","4000",1,"08:04:21","Morning to Afternoon","4000"
141,"2015-12-15","Lekki","Chicken Suya","Chicken","4000",2,"08:04:24","Morning to Afternoon","8000"
142,"2015-12-13","Lekki","Chicken Bali","Chicken","2000",2,"08:04:27","Morning to Afternoon","4000"
143,"2015-12-03","Lekki","Margarita","Vegetable","4000",3,"08:04:28","Morning to Afternoon","12000"
144,"2015-12-15","Ikoyi","Pepperoni Feast","Salami","4000",5,"08:04:35","Morning to Afternoon","20000"
145,"2015-12-11","Ikoyi","Pepperoni Feast","Salami","4000",3,"08:04:35","Morning to Afternoon","12000"
146,"2015-12-13","Ikoyi","Beef Suya","Beef","3000",1,"08:04:40","Morning to Afternoon","3000"
147,"2015-12-12","Ibadan","Hot Pepperoni Feast","Salami","4000",5,"08:04:41","Morning to Afternoon","20000"
148,"2015-12-08","Ikoyi","Pepperoni Suya","Pepperoni/Beef","3000",1,"08:04:42","Morning to Afternoon","3000"
149,"2015-12-15","Lekki","Chicken Suya","Chicken","4000",3,"08:04:43","Morning to Afternoon","12000"
150,"2015-12-05","Surulere","Hot Pepperoni Feast","Salami","4000",2,"08:04:44","Morning to Afternoon","8000"
151,"2015-12-14","Ibadan","Chicken Legend","Chicken","2000",5,"08:04:45","Morning to Afternoon","10000"
152,"2015-12-04","Surulere","Extravaganza","Pepperoni/Beef","2000",5,"08:04:50","Morning to Afternoon","10000"
153,"2015-12-14","Gbagada","Beef Suya","Beef","3000",2,"08:04:50","Morning to Afternoon","6000"
154,"2015-12-10","Lekki","Extravaganza","Pepperoni/Beef","2000",4,"08:04:53","Morning to Afternoon","8000"
155,"2015-12-11","Lekki","Pepperoni Suya","Pepperoni/Beef","3000",2,"08:04:55","Morning to Afternoon","6000"
156,"2015-12-09","Ibadan","BBQ Philly Steak","Beef","4000",3,"08:04:56","Morning to Afternoon","12000"
157,"2015-12-06","Gbagada","Italiano","Tomato/Cheese","3000",1,"08:04:56","Morning to Afternoon","3000"
158,"2015-12-15","Ikoyi","Extravaganza","Pepperoni/Beef","2000",1,"08:05:00","Morning to Afternoon","2000"
159,"2015-12-06","Surulere","BBQ Philly Steak","Beef","4000",2,"08:05:03","Morning to Afternoon","8000"
160,"2015-12-13","Gbagada","Italiano","Tomato/Cheese","3000",1,"08:05:06","Morning to Afternoon","3000"
161,"2015-12-13","Surulere","Chicken Legend","Chicken","2000",2,"08:05:10","Morning to Afternoon","4000"
162,"2015-12-07","Ikoyi","Italiano","Tomato/Cheese","3000",4,"08:05:11","Morning to Afternoon","12000"
163,"2015-12-12","Ibadan","Hot Veggie","Vegetable","4000",4,"08:05:11","Morning to Afternoon","16000"
164,"2015-12-06","Ibadan","Chicken Feast","Chicken","2000",3,"08:05:11","Morning to Afternoon","6000"
165,"2015-12-09","Ikoyi","Meatzaa","Beef","2000",2,"08:05:12","Morning to Afternoon","4000"
166,"2015-12-15","Ikoyi","Margarita","Vegetable","4000",5,"08:05:12","Morning to Afternoon","20000"
167,"2015-12-05","Lekki","Hot Pepperoni Feast","Salami","4000",5,"08:05:14","Morning to Afternoon","20000"
168,"2015-12-12","Ibadan","BBQ Chicken","Chicken","4000",3,"08:05:23","Morning to Afternoon","12000"
169,"2015-12-07","Lekki","Hot Pepperoni Feast","Salami","4000",5,"08:05:23","Morning to Afternoon","20000"
170,"2015-12-03","Ikoyi","Chicken Legend","Chicken","2000",4,"08:05:23","Morning to Afternoon","8000"
171,"2015-12-13","Surulere","Chicken Bali","Chicken","2000",3,"08:05:25","Morning to Afternoon","6000"
172,"2015-12-07","Surulere","Chicken Suya","Chicken","4000",5,"08:05:25","Morning to Afternoon","20000"
173,"2015-12-10","Surulere","Hot Pepperoni Feast","Salami","4000",4,"08:05:25","Morning to Afternoon","16000"
174,"2015-12-14","Surulere","Hot Pepperoni Feast","Salami","4000",2,"08:05:28","Morning to Afternoon","8000"
175,"2015-12-14","Gbagada","Chicken Feast","Chicken","2000",1,"08:05:32","Morning to Afternoon","2000"
176,"2015-12-12","Lekki","BBQ Chicken","Chicken","4000",2,"08:05:34","Morning to Afternoon","8000"
177,"2015-12-06","Ikoyi","Extravaganza","Pepperoni/Beef","2000",1,"08:05:34","Morning to Afternoon","2000"
178,"2015-12-05","Ibadan","Meatzaa","Beef","2000",2,"08:05:34","Morning to Afternoon","4000"
179,"2015-12-15","Ikoyi","Pepperoni Feast","Salami","4000",3,"08:05:37","Morning to Afternoon","12000"
180,"2015-12-09","Gbagada","Hot Pepperoni Feast","Salami","4000",1,"08:05:38","Morning to Afternoon","4000"
181,"2015-12-13","Ibadan","BBQ Chicken","Chicken","4000",3,"08:05:39","Morning to Afternoon","12000"
182,"2015-12-12","Ibadan","BBQ Chicken","Chicken","4000",4,"08:05:40","Morning to Afternoon","16000"
183,"2015-12-11","Ikoyi","Chicken Feast","Chicken","2000",3,"08:05:41","Morning to Afternoon","6000"
184,"2015-12-04","Surulere","Beef Suya","Beef","3000",1,"08:05:41","Morning to Afternoon","3000"
185,"2015-12-10","Surulere","Extravaganza","Pepperoni/Beef","2000",1,"08:05:43","Morning to Afternoon","2000"
186,"2015-12-06","Surulere","Pepperoni Feast","Salami","4000",2,"08:05:44","Morning to Afternoon","8000"
187,"2015-12-14","Gbagada","Beef Suya","Beef","3000",4,"08:05:46","Morning to Afternoon","12000"
188,"2015-12-11","Surulere","Veggie Supreme","Vegetable","3000",3,"08:05:47","Morning to Afternoon","9000"
189,"2015-12-10","Gbagada","Meatzaa","Beef","2000",5,"08:05:51","Morning to Afternoon","10000"
190,"2015-12-06","Gbagada","Chicken Bali","Chicken","2000",3,"08:05:53","Morning to Afternoon","6000"
191,"2015-12-15","Gbagada","Pepperoni Suya","Pepperoni/Beef","3000",1,"08:05:53","Morning to Afternoon","3000"
192,"2015-12-15","Ikoyi","Pepperoni Suya","Pepperoni/Beef","3000",5,"08:05:55","Morning to Afternoon","15000"
193,"2015-12-03","Ikoyi","Veggie Supreme","Vegetable","3000",3,"08:05:55","Morning to Afternoon","9000"
194,"2015-12-12","Gbagada","BBQ Philly Steak","Beef","4000",3,"08:05:56","Morning to Afternoon","12000"
195,"2015-12-03","Gbagada","Margarita","Vegetable","4000",4,"08:06:00","Morning to Afternoon","16000"
196,"2015-12-13","Lekki","BBQ Chicken","Chicken","4000",4,"08:06:01","Morning to Afternoon","16000"
197,"2015-12-10","Lekki","Beef Suya","Beef","3000",1,"08:06:01","Morning to Afternoon","3000"
198,"2015-12-07","Ibadan","BBQ Chicken","Chicken","4000",1,"08:06:03","Morning to Afternoon","4000"
199,"2015-12-12","Ikoyi","Beef Suya","Beef","3000",4,"08:06:07","Morning to Afternoon","12000"
200,"2015-12-08","Gbagada","Pepperoni Feast","Salami","4000",3,"08:06:08","Morning to Afternoon","12000"
201,"2015-12-07","Lekki","Hot Pepperoni Feast","Salami","4000",2,"08:06:10","Morning to Afternoon","8000"
202,"2015-12-14","Surulere","Hot Pepperoni Feast","Salami","4000",4,"08:06:10","Morning to Afternoon","16000"
203,"2015-12-05","Gbagada","Pepperoni Feast","Salami","4000",3,"08:06:12","Morning to Afternoon","12000"
204,"2015-12-14","Lekki","Chicken Bali","Chicken","2000",5,"08:06:22","Morning to Afternoon","10000"
205,"2015-12-09","Gbagada","BBQ Chicken","Chicken","4000",5,"08:06:22","Morning to Afternoon","20000"
206,"2015-12-10","Ikoyi","Chicken Legend","Chicken","2000",2,"08:06:28","Morning to Afternoon","4000"
207,"2015-12-07","Ibadan","Hot Veggie","Vegetable","4000",5,"08:06:30","Morning to Afternoon","20000"
208,"2015-12-10","Ibadan","BBQ Philly Steak","Beef","4000",4,"08:06:32","Morning to Afternoon","16000"
209,"2015-12-12","Ibadan","Margarita","Vegetable","4000",4,"08:06:33","Morning to Afternoon","16000"
210,"2015-12-03","Ibadan","Meatzaa","Beef","2000",1,"08:06:33","Morning to Afternoon","2000"
211,"2015-12-10","Gbagada","Extravaganza","Pepperoni/Beef","2000",5,"08:06:37","Morning to Afternoon","10000"
212,"2015-12-06","Gbagada","Meatzaa","Beef","2000",4,"08:06:37","Morning to Afternoon","8000"
213,"2015-12-09","Gbagada","BBQ Chicken","Chicken","4000",2,"08:06:40","Morning to Afternoon","8000"
214,"2015-12-03","Gbagada","Veggie Supreme","Vegetable","3000",3,"08:06:45","Morning to Afternoon","9000"
215,"2015-12-11","Ikoyi","BBQ Chicken","Chicken","4000",5,"08:06:46","Morning to Afternoon","20000"
216,"2015-12-08","Ikoyi","BBQ Philly Steak","Beef","4000",2,"08:06:46","Morning to Afternoon","8000"
217,"2015-12-14","Ikoyi","Margarita","Vegetable","4000",1,"08:06:50","Morning to Afternoon","4000"
218,"2015-12-11","Ibadan","Hot Veggie","Vegetable","4000",5,"08:06:50","Morning to Afternoon","20000"
219,"2015-12-08","Gbagada","Chicken Legend","Chicken","2000",5,"08:06:51","Morning to Afternoon","10000"
220,"2015-12-10","Ikoyi","Hot Veggie","Vegetable","4000",3,"08:06:53","Morning to Afternoon","12000"
221,"2015-12-15","Ikoyi","Chicken Legend","Chicken","2000",5,"08:06:54","Morning to Afternoon","10000"
222,"2015-12-13","Surulere","Veggie Supreme","Vegetable","3000",4,"08:06:55","Morning to Afternoon","12000"
223,"2015-12-10","Ikoyi","Pepperoni Suya","Pepperoni/Beef","3000",3,"08:06:57","Morning to Afternoon","9000"
224,"2015-12-13","Surulere","Meatzaa","Beef","2000",4,"08:07:00","Morning to Afternoon","8000"
225,"2015-12-03","Gbagada","Chicken Bali","Chicken","2000",2,"08:07:03","Morning to Afternoon","4000"
226,"2015-12-12","Ibadan","Veggie Supreme","Vegetable","3000",3,"08:07:03","Morning to Afternoon","9000"
227,"2015-12-07","Lekki","Hot Pepperoni Feast","Salami","4000",5,"08:07:04","Morning to Afternoon","20000"
228,"2015-12-10","Lekki","BBQ Philly Steak","Beef","4000",5,"08:07:04","Morning to Afternoon","20000"
229,"2015-12-03","Gbagada","Margarita","Vegetable","4000",2,"08:07:05","Morning to Afternoon","8000"
230,"2015-12-10","Ikoyi","Chicken Legend","Chicken","2000",3,"08:07:05","Morning to Afternoon","6000"
231,"2015-12-06","Ibadan","BBQ Chicken","Chicken","4000",3,"08:07:07","Morning to Afternoon","12000"
232,"2015-12-05","Lekki","Hot Veggie","Vegetable","4000",1,"08:07:07","Morning to Afternoon","4000"
233,"2015-12-06","Gbagada","Hot Veggie","Vegetable","4000",3,"08:07:16","Morning to Afternoon","12000"
234,"2015-12-06","Lekki","Chicken Suya","Chicken","4000",1,"08:07:16","Morning to Afternoon","4000"
235,"2015-12-04","Surulere","Pepperoni Feast","Salami","4000",3,"08:07:21","Morning to Afternoon","12000"
236,"2015-12-13","Ikoyi","Hot Pepperoni Feast","Salami","4000",3,"08:07:21","Morning to Afternoon","12000"
237,"2015-12-08","Gbagada","Extravaganza","Pepperoni/Beef","2000",4,"08:07:22","Morning to Afternoon","8000"
238,"2015-12-09","Ikoyi","Meatzaa","Beef","2000",1,"08:07:23","Morning to Afternoon","2000"
239,"2015-12-06","Gbagada","Veggie Supreme","Vegetable","3000",4,"08:07:23","Morning to Afternoon","12000"
240,"2015-12-15","Ibadan","Hot Pepperoni Feast","Salami","4000",4,"08:07:25","Morning to Afternoon","16000"
241,"2015-12-12","Ikoyi","Extravaganza","Pepperoni/Beef","2000",1,"08:07:26","Morning to Afternoon","2000"
242,"2015-12-08","Ikoyi","BBQ Chicken","Chicken","4000",5,"08:07:28","Morning to Afternoon","20000"
243,"2015-12-05","Gbagada","Extravaganza","Pepperoni/Beef","2000",3,"08:07:30","Morning to Afternoon","6000"
244,"2015-12-09","Gbagada","Meatzaa","Beef","2000",1,"08:07:42","Morning to Afternoon","2000"
245,"2015-12-03","Surulere","Hot Pepperoni Feast","Salami","4000",3,"08:07:42","Morning to Afternoon","12000"
246,"2015-12-09","Lekki","Beef Suya","Beef","3000",5,"08:07:43","Morning to Afternoon","15000"
